scenario,label,method,reps,successes,failures,warning_runs,conversion,log_ratio_rmse,log_ratio_rmse_mcse,lift_mae,lift_mae_mcse,lift_bias,lift_bias_mcse,rank_spearman,rank_spearman_mcse
continuous_rare,Contínuo: conversão rara,DML,30,30,0,0,0.00938888888888889,0.18538978056847194,0.02140609770096805,0.16112211679903474,0.018160547303719732,0.029912482945775507,0.009065399574323308,0.5721672496000765,0.14151106242467829
continuous_rare,Contínuo: conversão rara,S-learner,30,30,0,20,0.00938888888888889,0.6799693192113409,0.03773457050792338,0.6185709771901956,0.06909975898156419,0.1853487659228918,0.0976903370534052,0.391670886620739,0.06484011317954931
continuous_weak,Contínuo: pouco overlap,Q,30,30,0,0,0.03883333333333334,0.5641464936941823,0.02880529246661736,0.4842172629162741,0.03832707321798401,0.09949827683561702,0.06024656117670864,0.022154358893767528,0.11654950365172152
continuous_weak,Contínuo: pouco overlap,DML,30,30,0,0,0.03883333333333334,0.12578653731849074,0.012061928773987398,0.11363521285889575,0.011096645514319419,0.01481272672165244,0.005109087905070769,0.8898844929123105,0.06358617257619648
continuous_weak,Contínuo: pouco overlap,S-learner,30,30,0,0,0.03883333333333334,0.386716711852578,0.018310699039727665,0.31268317221882286,0.016127521514030466,-0.0040514270970881455,0.0349676452027103,0.374171137165637,0.0847600161152755
continuous_curved,Contínuo: curva omitida,Q,30,30,0,0,0.06287777777777778,0.4125534367140621,0.015375366483617176,0.5152720829785901,0.036115077719239365,0.14167487305101345,0.06890393009533745,0.06967778456928693,0.09693505888266923
continuous_curved,Contínuo: curva omitida,DML,30,30,0,0,0.06287777777777778,0.39486812223484424,0.0026077069538944075,0.43010528440540874,0.0015223003856115174,-0.4295429767681887,0.001638259991442764,0.12998066948317386,0.18022185072113692
continuous_curved,Contínuo: curva omitida,S-learner,30,30,0,0,0.06287777777777778,0.3331784418169096,0.01224732943084464,0.3936609235656308,0.01614322910863528,0.05969155240113754,0.04525149450052307,0.09761961367815836,0.09323355301280428
binary_rct,Binário: aleatorizado,Q,30,30,0,0,0.04070555555555557,0.46246126352393835,0.009890257267744274,0.2845106926776283,0.010300124022593535,0.07369925702996702,0.017783692097144203,0.38223229015484306,0.03644310807783165
binary_rct,Binário: aleatorizado,DML,30,30,0,0,0.04070555555555557,0.21961402705118457,0.007906647789356673,0.1229681089446403,0.006287970581529623,-0.01563206711699491,0.011776007771755373,0.615635858378026,0.04595846239267442
binary_rct,Binário: aleatorizado,S-learner,30,30,0,0,0.04070555555555557,0.27553986047054313,0.010371024077042155,0.15283411706858122,0.007871651135206143,0.04499846446504164,0.012299593036515363,0.6141973207280778,0.031216616090446198
binary_confounded,Binário: confundido,Q,30,30,0,0,0.038247222222222224,0.47937276162133163,0.012495192443504438,0.31093554030307413,0.013645074961712226,0.10883395713104832,0.023908040725643093,0.4210543441383759,0.03913469359626972
binary_confounded,Binário: confundido,DML,30,30,0,0,0.038247222222222224,0.2731206851862123,0.01149275774335149,0.16075123658771623,0.008102032311005944,-0.010151205759385643,0.015991414721656654,0.4858794512429031,0.05976231007025288
binary_confounded,Binário: confundido,S-learner,30,30,0,0,0.038247222222222224,0.28988125246265006,0.010925632180276607,0.17101525367938814,0.009564840239361395,0.061074530156211,0.01635589636694263,0.5969614101732396,0.04075941477387643
three_arm,Discreto: três braços,Q,30,30,0,0,0.02835555555555556,0.6988036985335302,0.018582624795755655,0.4021151597751552,0.018518390776610962,0.1527426720283145,0.02351767645970485,0.4742233534731,0.02979103171608673
three_arm,Discreto: três braços,DML,30,30,0,7,0.02835555555555556,0.5448922996927676,0.025949337599190023,0.3157226372395164,0.042443138950586226,0.08437848758419023,0.04075291274008577,0.41433227569666176,0.04548680679577706
three_arm,Discreto: três braços,S-learner,30,30,0,0,0.02835555555555556,0.35769558759617226,0.008549577591228985,0.17337923600341443,0.005069021406613107,0.057914402120722165,0.012126281671382824,0.6617076580964275,0.029716419319317608
binary_rare,Binário: conversão rara,Q,30,30,0,0,0.007219444444444443,0.8956805403162897,0.01921404071504336,1.0355897146104025,0.06245976906939046,0.8689603077825988,0.07467069742043222,0.8319021989866873,0.0006914167464516988
