rep,method,n,conversion,theta0,theta1,se0,se1,moment_norm
33,Q: densidade incorreta,30000,0.0576,-0.1860703298054241,0.6848860984642257,0.06951277475921791,0.06951277475921791,2.1560835568159492e-10
34,CQ-DML: b e m corretos,30000,0.0607,-0.3252775838473032,-0.2014671409079811,0.06707743065766775,0.06707743065766775,2.254100223293898e-18
34,CQ-DML: apenas m correto,30000,0.0607,-0.34098841914110406,-0.1807042288241143,0.07202459465290423,0.07202459465290424,1.8727142833317464e-18
34,CQ-DML: apenas b correto,30000,0.0607,-0.3271531401975631,-0.1853744012785844,0.05964581701897123,0.05964581701897124,9.684385411090292e-19
34,CQ-DML: ambos incorretos,30000,0.0607,0.7456045763577002,-0.7439210734056678,0.06657424288141624,0.06657424288141624,7.292821324031431e-19
34,Q: densidade correta,30000,0.0607,-0.32540136157875854,-0.2129772938246579,0.0696315382407181,0.0696315382407181,1.0206577816071077e-11
34,Q: densidade incorreta,30000,0.0607,-0.1899679139822788,0.6754706064395289,0.06874617029861751,0.06874617029861751,1.3955047122797247e-10
35,CQ-DML: b e m corretos,30000,0.06256666666666667,-0.39553697250676306,-0.1960778955487565,0.07116745793955233,0.07116745793955233,4.134253736144761e-18
35,CQ-DML: apenas m correto,30000,0.06256666666666667,-0.39790924422435103,-0.19513772120480039,0.07673865983204121,0.07673865983204124,3.072358439457616e-18
35,CQ-DML: apenas b correto,30000,0.06256666666666667,-0.39510326228264353,-0.14732484395035703,0.061301839836023116,0.061301839836023136,1.6160339784218502e-18
35,CQ-DML: ambos incorretos,30000,0.06256666666666667,0.7240328503645925,-0.7597835501311268,0.06696134480001897,0.06696134480001897,7.236376074396822e-17
35,Q: densidade correta,30000,0.06256666666666667,-0.39006125553485516,-0.20582570314067483,0.06671469022075957,0.06671469022075957,5.340327152827585e-12
35,Q: densidade incorreta,30000,0.06256666666666667,-0.2876655306099422,0.7057891578924571,0.06735758871389165,0.06735758871389166,2.614935117712338e-10
36,CQ-DML: b e m corretos,30000,0.0599,-0.3980543553115772,-0.0996015983987239,0.0744878846567745,0.07448788465677449,1.4977956057925214e-18
36,CQ-DML: apenas m correto,30000,0.0599,-0.4137036456583553,-0.08849790743107118,0.08182540601858858,0.08182540601858858,1.756793708749593e-19
36,CQ-DML: apenas b correto,30000,0.0599,-0.37907438027939017,-0.12668537097898372,0.0627469965421384,0.06274699654213839,1.5554820442268307e-18
36,CQ-DML: ambos incorretos,30000,0.0599,0.7393168201140936,-0.7165280325601879,0.0668683821369564,0.0668683821369564,2.5135689163016777e-18
36,Q: densidade correta,30000,0.0599,-0.3824445018583909,-0.12642729043285855,0.06802064456598785,0.06802064456598785,8.319629238262399e-11
36,Q: densidade incorreta,30000,0.0599,-0.250332448418124,0.7584469212436801,0.06833636995342067,0.06833636995342067,5.097114356220395e-10
37,CQ-DML: b e m corretos,30000,0.05993333333333333,-0.34266168917723616,-0.2480763316055224,0.07311467458855933,0.07311467458855933,4.9076752131760244e-18
37,CQ-DML: apenas m correto,30000,0.05993333333333333,-0.33937216051867336,-0.2556970108565996,0.07926055285449603,0.07926055285449601,4.422969325172748e-19
37,CQ-DML: apenas b correto,30000,0.05993333333333333,-0.30900129642767765,-0.2627387627520549,0.06447206996693969,0.06447206996693967,8.002511328845916e-18
37,CQ-DML: ambos incorretos,30000,0.05993333333333333,0.8242869302710685,-0.8706045898679737,0.07280812584897481,0.0728081258489748,1.9442476600454766e-17
37,Q: densidade correta,30000,0.05993333333333333,-0.35575566130866926,-0.24541160273498117,0.07114934402818092,0.07114934402818092,3.7821909103937223e-10
