scenario,label,method,rep,seed,n,test_n,conversion,converters,success,error,warnings,log_ratio_rmse,lift_mae,lift_bias,rank_spearman,theta0,theta1,moment_norm,propensity_clip_fraction
continuous_null,Contínuo: efeito nulo,S-learner,14,20260920,12000,2000,0.051166666666666666,614,True,,,0.3920960268265215,0.30122104191376914,0.011746365976640121,,,,,
continuous_null,Contínuo: efeito nulo,Q,15,20260921,12000,2000,0.04908333333333333,589,True,,,0.4471690009651061,0.3197606608846801,-0.017555125485874755,,,,,
continuous_null,Contínuo: efeito nulo,DML,15,20260921,12000,2000,0.04908333333333333,589,True,,,0.09980581762123847,0.07656489779035669,0.00499103464187209,,0.12316134544267969,-0.09350858139540258,6.22243642362288e-19,
continuous_null,Contínuo: efeito nulo,S-learner,15,20260921,12000,2000,0.04908333333333333,589,True,,,0.36627137093307055,0.289837178309547,0.06453620794193488,,,,,
continuous_null,Contínuo: efeito nulo,Q,16,20260922,12000,2000,0.049833333333333334,598,True,,,0.2911965241730091,0.21272765162841836,0.059055617242404525,,,,,
continuous_null,Contínuo: efeito nulo,DML,16,20260922,12000,2000,0.049833333333333334,598,True,,,0.08782978286013483,0.08215363819147554,0.003860813938991214,,-0.13652732566601583,0.02446830497296795,1.7095708045787867e-18,
continuous_null,Contínuo: efeito nulo,S-learner,16,20260922,12000,2000,0.049833333333333334,598,True,,,0.21471457128559912,0.16321754708876085,0.09321311277301958,,,,,
continuous_null,Contínuo: efeito nulo,Q,17,20260923,12000,2000,0.050916666666666666,611,True,,,0.43269431557013166,0.3095758410834302,0.001203809929743585,,,,,
continuous_null,Contínuo: efeito nulo,DML,17,20260923,12000,2000,0.050916666666666666,611,True,,,0.054903520252018057,0.05031064521791878,0.0015078457114606394,,0.08422470433840863,0.022689398842020668,1.786782770677263e-18,
continuous_null,Contínuo: efeito nulo,S-learner,17,20260923,12000,2000,0.050916666666666666,611,True,,,0.2945496682075591,0.2537554344092267,0.04321231148217393,,,,,
continuous_null,Contínuo: efeito nulo,Q,18,20260924,12000,2000,0.0465,558,True,,,0.5106936348826271,0.2399055343575944,-0.18020007427628448,,,,,
continuous_null,Contínuo: efeito nulo,DML,18,20260924,12000,2000,0.0465,558,True,,,0.057966208447092056,0.041618582863383935,0.0016813174357426597,,0.060009378238539385,-0.06981756645218927,3.3593085661346267e-17,
continuous_null,Contínuo: efeito nulo,S-learner,18,20260924,12000,2000,0.0465,558,True,,,0.29775206960638284,0.19669657146617725,-0.04495311507316714,,,,,
continuous_null,Contínuo: efeito nulo,Q,19,20260925,12000,2000,0.05516666666666667,662,True,,,0.4307811300444622,0.30421417711914434,0.11753458170811082,,,,,
continuous_null,Contínuo: efeito nulo,DML,19,20260925,12000,2000,0.05516666666666667,662,True,,,0.12372220961171143,0.10394159906843432,0.007676204517703837,,-0.09232079923401931,0.17348542241225534,8.2634006168478e-19,
continuous_null,Contínuo: efeito nulo,S-learner,19,20260925,12000,2000,0.05516666666666667,662,True,,,0.36778442801638034,0.35869749135899387,0.27018597164227903,,,,,
continuous_null,Contínuo: efeito nulo,Q,20,20260926,12000,2000,0.05075,609,True,,,0.6041688434733783,0.2604989572920349,-0.15112957937225263,,,,,
continuous_null,Contínuo: efeito nulo,DML,20,20260926,12000,2000,0.05075,609,True,,,0.11703470765398163,0.10633003522643025,0.0068625989598874405,,-0.05513818013250709,0.17543366831878252,3.099241970736427e-19,
continuous_null,Contínuo: efeito nulo,S-learner,20,20260926,12000,2000,0.05075,609,True,,,0.34081141972898404,0.2194985167996519,-0.09649612555194642,,,,,
continuous_null,Contínuo: efeito nulo,Q,21,20260927,12000,2000,0.051416666666666666,617,True,,,0.4621556573224023,0.3351038732917499,0.2174035695290336,,,,,
continuous_null,Contínuo: efeito nulo,DML,21,20260927,12000,2000,0.051416666666666666,617,True,,,0.04224933193620072,0.039978105683705974,0.0008926878005919506,,-0.06659589031504852,-0.005112783422764526,6.786097913562641e-19,
continuous_null,Contínuo: efeito nulo,S-learner,21,20260927,12000,2000,0.051416666666666666,617,True,,,0.45449930439303843,0.4309766388909371,0.3265525046362183,,,,,
continuous_null,Contínuo: efeito nulo,Q,22,20260928,12000,2000,0.049,588,True,,,0.6219926466645085,0.3167916359492534,-0.06020502348566085,,,,,
continuous_null,Contínuo: efeito nulo,DML,22,20260928,12000,2000,0.049,588,True,,,0.07219012327492354,0.06398845875684993,0.0026079426691651138,,0.04104526630939387,-0.10671279872693928,7.433195285128808e-19,
continuous_null,Contínuo: efeito nulo,S-learner,22,20260928,12000,2000,0.049,588,True,,,0.3557936186042766,0.24422296227323856,0.02741418739620171,,,,,
continuous_null,Contínuo: efeito nulo,Q,23,20260929,12000,2000,0.050416666666666665,605,True,,,0.5350199139655061,0.3127387176571643,-0.006314981800425812,,,,,
continuous_null,Contínuo: efeito nulo,DML,23,20260929,12000,2000,0.050416666666666665,605,True,,,0.008559615604088171,0.007474184713208647,3.6633970857508305e-05,,0.012435571132677523,-0.005291286934951489,2.6938126344079544e-19,
continuous_null,Contínuo: efeito nulo,S-learner,23,20260929,12000,2000,0.050416666666666665,605,True,,,0.4061257854285412,0.2381453763202557,-0.01661609005695756,,,,,
continuous_null,Contínuo: efeito nulo,Q,24,20260930,12000,2000,0.04975,597,True,,,0.3573112802978429,0.2143031905270189,-0.0184055871611631,,,,,
continuous_null,Contínuo: efeito nulo,DML,24,20260930,12000,2000,0.04975,597,True,,,0.08127254678698632,0.07596491908743111,0.0033053948971821503,,-0.022990229172427306,0.12677521149924773,4.354889223253928e-19,
continuous_null,Contínuo: efeito nulo,S-learner,24,20260930,12000,2000,0.04975,597,True,,,0.35270773459762045,0.32122966362088984,0.17212141083735602,,,,,
continuous_null,Contínuo: efeito nulo,Q,25,20260931,12000,2000,0.04958333333333333,595,True,,,0.3928302150356063,0.2862497231583179,0.03792428205558837,,,,,
continuous_null,Contínuo: efeito nulo,DML,25,20260931,12000,2000,0.04958333333333333,595,True,,,0.007007399224458232,0.006521542645745643,2.455197837850087e-05,,0.0021497152699629014,0.010869122963028452,1.542604808556055e-18,
continuous_null,Contínuo: efeito nulo,S-learner,25,20260931,12000,2000,0.04958333333333333,595,True,,,0.29344003348573666,0.24240156599979512,0.12799655847351196,,,,,
continuous_null,Contínuo: efeito nulo,Q,26,20260932,12000,2000,0.04975,597,True,,,0.5423502139860401,0.6480893144472899,0.5817051047542762,,,,,
continuous_null,Contínuo: efeito nulo,DML,26,20260932,12000,2000,0.04975,597,True,,,0.01090892359168745,0.010313472241637926,5.950313155370868e-05,,-0.017185835128093352,-0.0014352497724615515,5.78929217671889e-19,
continuous_null,Contínuo: efeito nulo,S-learner,26,20260932,12000,2000,0.04975,597,True,,,0.3439644820490731,0.33598403845708485,0.29599598104174174,,,,,
continuous_null,Contínuo: efeito nulo,Q,27,20260933,12000,2000,0.051416666666666666,617,True,,,0.3959562583979403,0.33990993598232433,0.20318740567007257,,,,,
continuous_null,Contínuo: efeito nulo,DML,27,20260933,12000,2000,0.051416666666666666,617,True,,,0.06121783470095677,0.0543203073340067,0.0018749646798967721,,-0.03447306298918909,0.09100028580468365,3.8603871938175575e-19,
continuous_null,Contínuo: efeito nulo,S-learner,27,20260933,12000,2000,0.051416666666666666,617,True,,,0.25024147424267223,0.20806923687768916,0.12150510229681566,,,,,
continuous_null,Contínuo: efeito nulo,Q,28,20260934,12000,2000,0.05,600,True,,,0.4629854625390652,0.3062470978082547,-0.016448647725431812,,,,,
continuous_null,Contínuo: efeito nulo,DML,28,20260934,12000,2000,0.05,600,True,,,0.09226222429442896,0.08446904176589039,0.004261351883803364,,-0.03923765896847025,0.13937010053274235,4.359470982717306e-19,
continuous_null,Contínuo: efeito nulo,S-learner,28,20260934,12000,2000,0.05,600,True,,,0.3688416620266022,0.2448712277524221,-0.10562912073972905,,,,,
continuous_null,Contínuo: efeito nulo,Q,29,20260935,12000,2000,0.05025,603,True,,,0.40066102605096093,0.2724663569229256,-0.07813768191281735,,,,,
continuous_null,Contínuo: efeito nulo,DML,29,20260935,12000,2000,0.05025,603,True,,,0.12861648741904821,0.10085090326859679,0.008300377936793033,,0.16797983508185108,-0.11580421371440239,6.259044542236954e-19,
continuous_null,Contínuo: efeito nulo,S-learner,29,20260935,12000,2000,0.05025,603,True,,,0.29875865715290145,0.2238119436304704,-0.00920798244792632,,,,,
continuous_common,Contínuo: efeito comum,Q,0,20261906,12000,2000,0.04741666666666667,569,True,,,0.302088562590677,0.23662168848546994,0.0006548967570344856,,,,,
continuous_common,Contínuo: efeito comum,DML,0,20261906,12000,2000,0.04741666666666667,569,True,,,0.09070119566641958,0.0862358544961316,0.009622178436811497,,-0.3872900943065216,-0.13836639017649785,1.8023057625487052e-17,
continuous_common,Contínuo: efeito comum,S-learner,0,20261906,12000,2000,0.04741666666666667,569,True,,,0.38636265606834114,0.4329202617322842,0.37657578440507433,,,,,
continuous_common,Contínuo: efeito comum,Q,1,20261907,12000,2000,0.04833333333333333,580,True,,,0.8227347183086803,0.34874505757429874,-0.25043801983268,,,,,
continuous_common,Contínuo: efeito comum,DML,1,20261907,12000,2000,0.04833333333333333,580,True,,,0.032139366799560844,0.03002235961844652,-0.006376366010543983,,-0.301326145873862,0.01416998346685655,5.693892804526533e-19,
continuous_common,Contínuo: efeito comum,S-learner,1,20261907,12000,2000,0.04833333333333333,580,True,,,0.4437430893279413,0.23365880566125652,-0.07410352726341475,,,,,
