scenario,label,method,reps,successes,failures,warning_runs,conversion,log_ratio_rmse,log_ratio_rmse_mcse,lift_mae,lift_mae_mcse,lift_bias,lift_bias_mcse,rank_spearman,rank_spearman_mcse
continuous_rare,Contínuo: conversão rara,DML,30,30,0,0,0.009352777777777778,0.1751831054199642,0.02217558478610413,0.1589923236175682,0.022449214644253746,0.02660104284417236,0.012664876800013162,0.6365441449939964,0.13194226862292338
continuous_rare,Contínuo: conversão rara,S-learner,30,30,0,21,0.009352777777777778,0.651820393212772,0.03311034506320433,0.6585680953336437,0.061274619977039736,0.2901484773697566,0.09188406383166177,0.2821327703107374,0.08229180508611596
continuous_weak,Contínuo: pouco overlap,Q,30,30,0,0,0.03878333333333333,0.5014307610553813,0.029017027908826123,0.38498895296764085,0.03493266933518858,-0.009129168286331145,0.0469846591132261,0.10407277673881095,0.11225433037702809
continuous_weak,Contínuo: pouco overlap,DML,30,30,0,0,0.03878333333333333,0.10564895568038524,0.013719534927303463,0.09459158566328615,0.0127690754948297,0.013219539158824683,0.005808411787868102,0.7625878216354656,0.10619024790771578
continuous_weak,Contínuo: pouco overlap,S-learner,30,30,0,0,0.03878333333333333,0.344015774906488,0.019456588662410616,0.27554455307096537,0.016710209858952982,-0.008632185422748769,0.030990411136367132,0.5346878288932362,0.05164454659133912
continuous_curved,Contínuo: curva omitida,Q,30,30,0,0,0.06321388888888889,0.4492575288943582,0.021011115719960127,0.5422151536063397,0.039979133583308686,0.09521879056993411,0.07539349779589427,-0.021962972809304513,0.10618383180885597
continuous_curved,Contínuo: curva omitida,DML,30,30,0,0,0.06321388888888889,0.3961339381312095,0.0023834359273928593,0.42930413647773225,0.0017904276745601987,-0.42833770441101743,0.0020069433844392514,0.13068780410299446,0.1800875865638135
continuous_curved,Contínuo: curva omitida,S-learner,30,30,0,0,0.06321388888888889,0.33485091926291777,0.013215915557923506,0.4049841481223151,0.023888281987113635,0.06184154179908203,0.05130437296405964,0.20226591993665094,0.08907365063003402
binary_rct,Binário: aleatorizado,Q,30,30,0,0,0.04072777777777778,0.4692380346622775,0.010844676275260224,0.2785204861863066,0.01197141878548806,0.04190656687806073,0.022474181725366468,0.353756336566331,0.037896521273431544
binary_rct,Binário: aleatorizado,DML,30,30,0,30,0.04072777777777778,1.0323823497932638,0.012710398902749071,0.9191207395890669,0.050425695052986955,0.5684638954872926,0.05951016719523424,0.2104067744848345,0.026347338570488044
binary_rct,Binário: aleatorizado,S-learner,30,30,0,0,0.04072777777777778,0.287342129300589,0.008909342519122614,0.15369503189183273,0.0071932748852022565,0.01776628100942377,0.015004010452359672,0.5900783704039666,0.035504216749143114
binary_confounded,Binário: confundido,Q,30,30,0,0,0.03751666666666666,0.4966649840833345,0.012731244645737896,0.3170477868973801,0.010174456056767768,0.1077628256451319,0.02093547543489799,0.4057005929906963,0.04617487174501433
binary_confounded,Binário: confundido,DML,30,30,0,30,0.03751666666666666,1.150796755580885,0.020675797855862245,1.3518571636982957,0.08915234466267224,0.9548744049489813,0.09376964230613498,0.03749515193475088,0.027052341425592045
binary_confounded,Binário: confundido,S-learner,30,30,0,0,0.03751666666666666,0.2775892964802706,0.00941885601885727,0.15830370743522942,0.005567409169347161,0.0471538184930485,0.011438758215477692,0.5925689017440098,0.04521890942289437
three_arm,Discreto: três braços,Q,30,30,0,0,0.02803055555555555,0.6933117524448983,0.015498852937583563,0.3771847519156333,0.012410441582573414,0.11455564620998145,0.01994074285810427,0.42188934115197685,0.04147392842947354
three_arm,Discreto: três braços,DML,30,30,0,30,0.02803055555555555,1.663858014858716,0.024205105744461337,3.047928818502071,0.1736676327747862,2.596193416832838,0.17482788676918798,-0.15086932826136398,0.03432654714489281
three_arm,Discreto: três braços,S-learner,30,30,0,0,0.02803055555555555,0.3690162356547246,0.011993433651905932,0.17262250364400344,0.006895517472622297,0.04418004814967311,0.01235143142170906,0.6550314821529499,0.031007736964112912
binary_rare,Binário: conversão rara,Q,30,30,0,0,0.007724999999999999,0.898190286435002,0.012056287948396284,1.0607882213497295,0.036899028659073095,0.9068764187458348,0.04558741422962523,0.8301119087326391,0.0009187604552020232
